concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
2000000111,Follow-up Visit 24 - MRI,Visit,PIONEER,Undefined,S,111,1970-01-01,2099-12-31,
2000000112,Follow-up Visit 25 - MRI,Visit,PIONEER,Undefined,S,112,1970-01-01,2099-12-31,
2000000113,Follow-up Visit 26 - MRI,Visit,PIONEER,Undefined,S,113,1970-01-01,2099-12-31,
2000000114,Follow-up Visit 27 - MRI,Visit,PIONEER,Undefined,S,114,1970-01-01,2099-12-31,
2000000115,Follow-up Visit 28 - MRI,Visit,PIONEER,Undefined,S,115,1970-01-01,2099-12-31,
2000000116,Follow-up Visit 29 - MRI,Visit,PIONEER,Undefined,S,116,1970-01-01,2099-12-31,
2000000117,Follow-up Visit 30 - MRI,Visit,PIONEER,Undefined,S,117,1970-01-01,2099-12-31,
2000000118,Follow-up Visit 31 - MRI,Visit,PIONEER,Undefined,S,118,1970-01-01,2099-12-31,
2000000119,Follow-up Visit 32 - MRI,Visit,PIONEER,Undefined,S,119,1970-01-01,2099-12-31,
2000000120,Follow-up Visit 33 - MRI,Visit,PIONEER,Undefined,S,120,1970-01-01,2099-12-31,
2000000121,Follow-up Visit 34 - MRI,Visit,PIONEER,Undefined,S,121,1970-01-01,2099-12-31,
2000000122,Follow-up Visit 35 - MRI,Visit,PIONEER,Undefined,S,122,1970-01-01,2099-12-31,
2000000123,Follow-up Visit 36 - MRI,Visit,PIONEER,Undefined,S,123,1970-01-01,2099-12-31,
2000000124,Follow-up Visit 37 - MRI,Visit,PIONEER,Undefined,S,124,1970-01-01,2099-12-31,
2000000125,Follow-up Visit 38 - MRI,Visit,PIONEER,Undefined,S,125,1970-01-01,2099-12-31,
2000000126,Screening visit,Visit,PIONEER,Undefined,S,126,1970-01-01,2099-12-31,
2000000127,Follow-up visit,Visit,PIONEER,Undefined,S,127,1970-01-01,2099-12-31,
2000000128,Scheduled visit,Visit,PIONEER,Undefined,S,128,1970-01-01,2099-12-31,
2000000129,Unscheduled visit,Visit,PIONEER,Undefined,S,129,1970-01-01,2099-12-31,
2000000130,Absolute change from nadir,Measurement,PIONEER,Undefined,S,130,1970-01-01,2099-12-31,
2000000131,New lesions compared to previous scan,Measurement,PIONEER,Undefined,S,131,1970-01-01,2099-12-31,
2000000132,Percent change from baseline,Measurement,PIONEER,Undefined,S,132,1970-01-01,2099-12-31,
2000000133,Non target lesion size,Measurement,PIONEER,Undefined,S,133,1970-01-01,2099-12-31,
2000000134,Percent change from nadir,Measurement,PIONEER,Undefined,S,134,1970-01-01,2099-12-31,
2000000135,Bone lesion count,Measurement,PIONEER,Undefined,S,135,1970-01-01,2099-12-31,
2000000136,Bone new lesion count,Measurement,PIONEER,Undefined,S,136,1970-01-01,2099-12-31,
2000000137,Sum of diameters,Measurement,PIONEER,Undefined,S,137,1970-01-01,2099-12-31,
2000000138,Timepoint sum of diameters,Measurement,PIONEER,Undefined,S,138,1970-01-01,2099-12-31,
2000000139,Timepoint sum of non-nodal diameters,Measurement,PIONEER,Undefined,S,139,1970-01-01,2099-12-31,
2000000140,Lesion assessment,Measurement,PIONEER,Undefined,S,140,1970-01-01,2099-12-31,
2000000141,New bone lesion number,Measurement,PIONEER,Undefined,S,141,1970-01-01,2099-12-31,
2000000142,Bone lesion number per site,Measurement,PIONEER,Undefined,S,142,1970-01-01,2099-12-31,
2000000143,Non-target,Measurement,PIONEER,Undefined,S,143,1970-01-01,2099-12-31,
2000000144,Target,Measurement,PIONEER,Undefined,S,144,1970-01-01,2099-12-31,
2000000145,Tumor identification,Measurement,PIONEER,Undefined,S,145,1970-01-01,2099-12-31,
2000000146,Tracer uptake related to disease,Measurement,PIONEER,Undefined,S,146,1970-01-01,2099-12-31,
2000000147,GCP Breach,Observation,PIONEER,Undefined,S,147,1970-01-01,2099-12-31,
2000000148,Procedure Violation,Observation,PIONEER,Undefined,S,148,1970-01-01,2099-12-31,
2000000149,Rando/Treat Allocation Process Violation,Observation,PIONEER,Undefined,S,149,1970-01-01,2099-12-31,
2000000150,Eligibility Criteria Violation,Observation,PIONEER,Undefined,S,150,1970-01-01,2099-12-31,
2000000151,Prohibited Concominant Medication,Observation,PIONEER,Undefined,S,151,1970-01-01,2099-12-31,
2000000152,Withdrawal Criteria Violation,Observation,PIONEER,Undefined,S,152,1970-01-01,2099-12-31,
2000000153,Overall Response,Observation,PIONEER,Undefined,S,153,1970-01-01,2099-12-31,
2000000154,Symptomatic Progression,Observation,PIONEER,Undefined,S,154,1970-01-01,2099-12-31,
2000000155,Disease Stable or Progressive,Observation,PIONEER,Undefined,S,155,1970-01-01,2099-12-31,
2000000156,Evaluation of Non-Target Lesions,Observation,PIONEER,Undefined,S,156,1970-01-01,2099-12-31,
2000000157,Evaluation of Target Lesions,Observation,PIONEER,Undefined,S,157,1970-01-01,2099-12-31,
2000000158,Overall Bone Scan Assessment,Observation,PIONEER,Undefined,S,158,1970-01-01,2099-12-31,
2000000159,Overall Tumor Response Assessment,Observation,PIONEER,Undefined,S,159,1970-01-01,2099-12-31,
2000000160,Has Patient Progressed Radiologically,Observation,PIONEER,Undefined,S,160,1970-01-01,2099-12-31,
2000000161,Non-target Response,Observation,PIONEER,Undefined,S,161,1970-01-01,2099-12-31,
2000000162,Progression PCWG2 Criteria,Observation,PIONEER,Undefined,S,162,1970-01-01,2099-12-31,
2000000163,Progression RECIST 1.1,Observation,PIONEER,Undefined,S,163,1970-01-01,2099-12-31,
2000000164,Spinal Cord Compression or Path Fracture,Observation,PIONEER,Undefined,S,164,1970-01-01,2099-12-31,
2000000165,Quality Issues Objective Tumor Response,Observation,PIONEER,Undefined,S,165,1970-01-01,2099-12-31,
2000000166,Quality Issues Bone,Observation,PIONEER,Undefined,S,166,1970-01-01,2099-12-31,
2000000167,Assess Nodal/ Non-Nodal Target Lesions,Observation,PIONEER,Undefined,S,167,1970-01-01,2099-12-31,
2000000168,Pharmacokinetic study of Tasquinimod,Measurement,PIONEER,Undefined,S,168,1970-01-01,2099-12-31,
2000000169,Lesion diameter,Measurement,PIONEER,Undefined,S,169,1970-01-01,2099-12-31,
2000000170,Earliest scan date for the visit,Observation,PIONEER,Undefined,S,170,1970-01-01,2099-12-31,
2000000171,Latest scan date for the visit,Observation,PIONEER,Undefined,S,171,1970-01-01,2099-12-31,
2000000172,Earliest scan date for timepoint of BSP,Observation,PIONEER,Undefined,S,172,1970-01-01,2099-12-31,
2000000173,Earliest scan date for timepoint of SEP,Observation,PIONEER,Undefined,S,173,1970-01-01,2099-12-31,
2000000174,Overall bone scan assessment date,Observation,PIONEER,Undefined,S,174,1970-01-01,2099-12-31,
2000000175,Overall tumor response date,Observation,PIONEER,Undefined,S,175,1970-01-01,2099-12-31,
2000000176,Date of Overall Assessment,Observation,PIONEER,Undefined,S,176,1970-01-01,2099-12-31,
2000000177,Radiological Progression Date,Observation,PIONEER,Undefined,S,177,1970-01-01,2099-12-31,
2000000178,Symptomatic Progression Date,Observation,PIONEER,Undefined,S,178,1970-01-01,2099-12-31,
2000000179,No new lesions,Meas Value,PIONEER,Undefined,S,179,1970-01-01,2099-12-31,
2000000180,Unequivocal,Meas Value,PIONEER,Undefined,S,180,1970-01-01,2099-12-31,
2000000181,Optical Clot detection,Measurement,PIONEER,Undefined,S,181,1970-01-01,2099-12-31,
2000000182,Volume Conductivity Scatter,Measurement,PIONEER,Undefined,S,182,1970-01-01,2099-12-31,
2000000183,Electronic Impedance,Measurement,PIONEER,Undefined,S,183,1970-01-01,2099-12-31,
2000000184,Is one of first 500 patients,Observation,PIONEER,Undefined,S,184,1970-01-01,2099-12-31,
2000000185,Radiological Progression Date,Observation,PIONEER,Undefined,S,177,1970-01-01,2099-12-31,
2000000186,Symptomatic Progression Date,Observation,PIONEER,Undefined,S,178,1970-01-01,2099-12-31,
2000000187,BCR free years,Observation,PIONEER,Undefined,S,179,2019-01-01,2099-12-31,
2000000188,Non attendance for screening,Observation,PIONEER,Undefined,S,169,1970-01-01,2099-12-31,
2000000189,Intercurrent death,Condition,PIONEER,Undefined,S,170,1970-01-01,2099-12-31,
2000000190,Intervention related death,Condition,PIONEER,Undefined,S,171,1970-01-01,2099-12-31,
2000000191,Death unlikely due to prostate cancer,Condition,PIONEER,Undefined,S,172,1970-01-01,2099-12-31,
2000000192,Intercurrent death but prostate cancer has a contributory role,Condition,PIONEER,Undefined,S,173,1970-01-01,2099-12-31,
2000000193,Death possibly due to prostate cancer,Condition,PIONEER,Undefined,S,174,1970-01-01,2099-12-31,
2000000194,Death probably due to prostate cancer,Condition,PIONEER,Undefined,S,175,1970-01-01,2099-12-31,
2000000195,Death definitely due to prostate cancer,Condition,PIONEER,Undefined,S,176,1970-01-01,2099-12-31,
